x_norm, y_norm, dis_pks, x_mm, y_mm, dis_mm 
-809, -202, 833.8375141476905, -177, 45, 182.6307750626931
-819, -198, 842.5942083826591, -182, 45, 187.48066566982314
-826, -196, 848.9358044045498, -187, 45, 192.33824372703418
-833, -193, 855.0660793178502, -192, 45, 197.20294115453754
-840, -190, 861.2200647918046, -197, 45, 202.07424378183381
-846, -187, 866.4207984576548, -202, 45, 206.95168518279817
-851, -185, 870.8765698995467, -207, 45, 211.83484132691675
-858, -182, 877.090645258516, -212, 45, 216.72332592501436
-863, -180, 881.5718915664224, -217, 45, 221.61678636782008
4, -351, 351.02279128284533, 0, 50, 50.0
-15, -351, 351.32036661713767, -2, 50, 50.039984012787215
-51, -350, 353.696197321939, -7, 50, 50.48762224545735
-86, -350, 360.41087663942665, -12, 50, 51.419840528729765
-121, -350, 370.32553247109496, -17, 50, 52.81098370604357
-152, -350, 381.58092195496357, -22, 50, 54.62600113499065
-183, -348, 393.1831634238679, -27, 50, 56.824290580701486
-213, -348, 408.0110292626904, -32, 50, 59.36328831862332
-249, -346, 426.28277000132204, -37, 50, 62.20128616033595
-283, -345, 446.2219178839157, -42, 50, 65.29931086925804
-315, -342, 464.96128871122164, -47, 50, 68.62215385719105
-347, -337, 483.71272466206636, -52, 50, 72.13875518748573
-379, -331, 503.19181233402435, -57, 50, 75.82216034906945
-408, -326, 522.2451531608504, -62, 50, 79.64923100695951
-436, -321, 541.4212777495912, -67, 50, 83.60023923410746
-463, -317, 561.1220901016106, -72, 50, 87.65842800324451
-487, -313, 578.9110467075232, -77, 50, 91.80958555619343
-511, -308, 596.644785446081, -82, 50, 96.04165762834376
-534, -304, 614.4688763476959, -87, 50, 100.34440691936945
-556, -299, 631.29786947209, -92, 50, 104.70912090166739
-573, -296, 644.9379815145019, -97, 50, 109.12836478203089
-595, -290, 661.9101147436863, -102, 50, 113.59577456930342
-614, -285, 676.9202316373769, -107, 50, 118.10588469674151
-632, -280, 691.2481464712944, -112, 50, 122.65398485169571
-650, -275, 705.7797106746552, -117, 50, 127.23600119463045
-666, -270, 718.6487319963767, -122, 50, 131.84839779079607
-683, -266, 732.9699857429362, -127, 50, 136.48809471891678
-696, -261, 743.3283258426252, -132, 50, 141.1523999087511
-711, -257, 756.0224864380689, -137, 50, 145.8389522727039
-726, -252, 768.492029887103, -142, 50, 150.5456741324705
-738, -248, 778.5550719120646, -147, 50, 155.2707313050338
-750, -244, 788.6925890358042, -152, 50, 160.0124995117569
-762, -239, 798.6019033285609, -157, 50, 164.76953601925328
-775, -235, 809.8456643089472, -162, 50, 169.54055562018192
-785, -231, 818.2823473593941, -167, 50, 174.3244102241565
-795, -227, 826.7732458177393, -172, 50, 179.12007146045917
-806, -222, 836.0143539437586, -177, 50, 183.92661580097646
-816, -218, 844.6182569658318, -182, 50, 188.74321179846442
-823, -215, 850.6197740471356, -187, 50, 193.56910910576616
-829, -212, 855.6780936777568, -192, 50, 198.40362899906847
-838, -210, 863.9120325588711, -197, 50, 203.24615617521528
-844, -207, 869.0138088661192, -202, 50, 208.09613163151303
-849, -204, 873.1649328735093, -207, 50, 212.9530464679949
-855, -201, 878.3086018023506, -212, 50, 217.81643647805828
-862, -199, 884.6722556969897, -217, 50, 222.6858774148015
2, -382, 382.0052355662158, 0, 55, 55.0
-16, -382, 382.3349317025584, -2, 55, 55.036351623268054
-50, -383, 386.24991909384266, -7, 55, 55.44366510251645
-85, -383, 392.3187479588504, -12, 55, 56.293871780150276
-119, -384, 402.01616882906586, -17, 55, 57.56735185849702
-151, -382, 410.7614879708174, -22, 55, 59.23681287847955
-183, -379, 420.86815037491255, -27, 55, 61.26989472816156
-214, -379, 435.2436099473489, -32, 55, 63.631753079732135
-247, -380, 453.22069679130936, -37, 55, 66.2872536767062
-282, -377, 470.8003823277972, -42, 55, 69.20260110718382
-314, -374, 488.335949936107, -47, 55, 72.34638899074369
-345, -368, 504.4293805876101, -52, 55, 75.69015788066504
-378, -363, 524.0734681320931, -57, 55, 79.20858539325141
-404, -355, 537.8113051991377, -62, 55, 82.87943049997388
-431, -350, 555.2125719037709, -67, 55, 86.68333173107735
-458, -346, 574.0034843099822, -72, 55, 90.60353193998566
-483, -342, 591.8217637093114, -77, 55, 94.62557793746889
-507, -337, 608.7840339562134, -82, 55, 98.73702446397704
-530, -331, 624.8687862263565, -87, 55, 102.9271587094485
-551, -326, 640.2163696751279, -92, 55, 107.18675291284833
-571, -320, 654.554046660778, -97, 55, 111.50784725749125
-591, -316, 670.1768423334247, -102, 55, 115.88356225108029
-610, -310, 684.2514157822401, -107, 55, 120.30793822520607
-629, -306, 699.4833807889935, -112, 55, 124.77579893553076
-646, -301, 712.6829589656259, -117, 55, 129.28263611173776
-663, -296, 726.0750649898397, -122, 55, 133.82451195502264
-680, -290, 739.2563831310488, -127, 55, 138.3979768638256
-695, -286, 751.5457404576251, -132, 55, 143.0
-708, -281, 761.7250159998686, -137, 55, 147.6279106402309
-723, -275, 773.5334511189545, -142, 55, 152.27934856703322
-734, -271, 782.4301885791473, -147, 55, 156.95222202950808
-747, -266, 792.9470348011903, -152, 55, 161.64467204334326
-758, -263, 802.3297327159203, -157, 55, 166.35504200354134
-771, -257, 812.7053586632735, -162, 55, 171.0818517552344
-783, -252, 822.5527338718168, -167, 55, 175.82377541163197
-793, -248, 830.8748401534373, -172, 55, 180.5796223276591
-804, -245, 840.5004461628798, -177, 55, 185.34832073693033
-813, -241, 847.9681597795993, -182, 55, 190.12890364171355
-820, -236, 853.2854153212745, -187, 55, 194.92049661336284
-827, -233, 859.1961359317207, -192, 55, 199.7223072167954
-835, -230, 866.0975695613052, -197, 55, 204.53361581901396
-842, -227, 872.0624977603383, -202, 55, 209.35376758014172
-848, -224, 877.0860847146078, -207, 55, 214.1821654573508
-854, -221, 882.1320762788303, -212, 55, 219.01826407859232
-859, -219, 886.4772980736732, -217, 55, 223.86156436512275
2, -412, 412.0048543403342, 0, 60, 60.0
-15, -411, 411.2736315398788, -2, 60, 60.03332407921454
-50, -413, 416.0156247065728, -7, 60, 60.40695324215582
-84, -412, 420.47592083257274, -12, 60, 61.18823416311342
-118, -414, 430.4880950734875, -17, 60, 62.36184731067546
-150, -412, 438.45638323555056, -22, 60, 63.90618123468183
-182, -410, 448.57998172009417, -27, 60, 65.79513659838392
-213, -409, 461.1398920067532, -32, 60, 68.0
-246, -409, 477.2808397578935, -37, 60, 70.49113419430843
-280, -406, 493.18961870663907, -42, 60, 73.23933369440222
-311, -402, 508.2568248435037, -47, 60, 76.21679604916491
-341, -397, 523.345010485435, -52, 60, 79.39773296511683
-373, -390, 539.656372148055, -57, 60, 82.75868534480233
-401, -383, 554.5178085508165, -62, 60, 86.27861844049197
-428, -379, 571.6861026822324, -67, 60, 89.9388681271896
-454, -374, 588.2108465507926, -72, 60, 93.72299611087985
